Date,Open,High,Low,Close,Adj Close,Volume
2008-09-05,2.133100,2.151200,2.129500,2.140300,2.140300,0
2008-09-08,2.111300,2.119800,2.095100,2.106000,2.106000,0
2008-09-09,2.106800,2.126400,2.090300,2.114900,2.114900,0
2008-09-10,2.113300,2.143100,2.099700,2.139300,2.139300,0
2008-09-11,2.139500,2.159100,2.129700,2.148000,2.148000,0
2008-09-12,2.147500,2.149800,2.124100,2.136200,2.136200,0
2008-09-15,2.141000,2.179500,2.134900,2.177300,2.177300,0
2008-09-16,2.178600,2.194400,2.132500,2.148000,2.148000,0
2008-09-17,2.147800,2.179200,2.129400,2.169700,2.169700,0
2008-09-18,2.171700,2.171700,2.116600,2.121400,2.121400,0
2008-09-19,2.121600,2.126100,2.091600,2.094400,2.094400,0
2008-09-22,2.114400,2.148800,2.100500,2.138700,2.138700,0
2008-09-23,2.138300,2.157600,2.133200,2.142000,2.142000,0
2008-09-24,2.144300,2.160800,2.133300,2.143500,2.143500,0
2008-09-25,2.145200,2.150300,2.132200,2.132200,2.132200,0
2008-09-26,2.130100,2.138000,2.121600,2.126400,2.126400,0
2008-09-29,2.123400,2.160900,2.109300,2.155900,2.155900,0
2008-09-30,2.156200,2.156200,2.092400,2.106200,2.106200,0
2008-10-01,2.105700,2.113500,2.070900,2.081100,2.081100,0
2008-10-02,2.081400,2.103900,2.068400,2.098400,2.098400,0
2008-10-03,2.099100,2.101900,2.072200,2.084100,2.084100,0
2008-10-06,2.075200,2.175000,2.073300,2.139800,2.139800,0
2008-10-07,2.138800,2.187500,2.114600,2.177800,2.177800,0
2008-10-08,2.178600,2.337600,2.171800,2.268300,2.268300,0
2008-10-09,2.268100,2.296800,2.195700,2.259700,2.259700,0
2008-10-10,2.260100,2.298700,2.222400,2.257200,2.257200,0
2008-10-13,2.232700,2.279900,2.191100,2.200300,2.200300,0
2008-10-14,2.199800,2.208900,2.163900,2.192600,2.192600,0
